#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.2590  -0.151440748    0.011754492    0.016500904    0.030166862    0.111710503
0.2600  -0.152572425    0.011945280    0.016763794    0.030291949    0.111677611
0.2610  -0.153710757    0.012138487    0.017029974    0.030415520    0.111645074
0.2620  -0.154855768    0.012334137    0.017299478    0.030537544    0.111612898
0.2630  -0.156007485    0.012532252    0.017572339    0.030657992    0.111581091
0.2640  -0.157165933    0.012732855    0.017848590    0.030776833    0.111549661
0.2650  -0.158331138    0.012935972    0.018128266    0.030894037    0.111518613
0.2660  -0.159503124    0.013141624    0.018411402    0.031009575    0.111487956
0.2670  -0.160681916    0.013349836    0.018698031    0.031123415    0.111457697
0.2680  -0.161867538    0.013560633    0.018988189    0.031235528    0.111427843
0.2690  -0.163060014    0.013774038    0.019281912    0.031345881    0.111398400
0.2700  -0.164259369    0.013990076    0.019579235    0.031454445    0.111369378
0.2710  -0.165465624    0.014208771    0.019880196    0.031561187    0.111340782
0.2720  -0.166678805    0.014430149    0.020184829    0.031666077    0.111312621
0.2730  -0.167898932    0.014654234    0.020493174    0.031769082    0.111284902
0.2740  -0.169126029    0.014881051    0.020805266    0.031870172    0.111257632
0.2750  -0.170360118    0.015110625    0.021121144    0.031969314    0.111230819
0.2760  -0.171601220    0.015342983    0.021440846    0.032066476    0.111204471
0.2770  -0.172849356    0.015578150    0.021764412    0.032161625    0.111178596
0.2780  -0.174104548    0.015816152    0.022091879    0.032254730    0.111153200
0.2790  -0.175366816    0.016057014    0.022423288    0.032345758    0.111128292
0.2800  -0.176636180    0.016300763    0.022758678    0.032434676    0.111103879
0.2810  -0.177912660    0.016547426    0.023098090    0.032521451    0.111079970
0.2820  -0.179196274    0.016797029    0.023441565    0.032606050    0.111056572
0.2830  -0.180487043    0.017049600    0.023789145    0.032688439    0.111033693
0.2840  -0.181784983    0.017305164    0.024140870    0.032768586    0.111011340
0.2850  -0.183090114    0.017563749    0.024496784    0.032846457    0.110989523
0.2860  -0.184402452    0.017825383    0.024856929    0.032922018    0.110968248
0.2870  -0.185722014    0.018090094    0.025221348    0.032995235    0.110947523
0.2880  -0.187048818    0.018357908    0.025590085    0.033066074    0.110927358
0.2890  -0.188382877    0.018628855    0.025963184    0.033134502    0.110907759
0.2900  -0.189724209    0.018902961    0.026340690    0.033200483    0.110888736
0.2910  -0.191072828    0.019180257    0.026722648    0.033263984    0.110870295
0.2920  -0.192428748    0.019460770    0.027109104    0.033324970    0.110852446
0.2930  -0.193791983    0.019744529    0.027500104    0.033383407    0.110835196
0.2940  -0.195162546    0.020031563    0.027895695    0.033439259    0.110818553
0.2950  -0.196540449    0.020321902    0.028295924    0.033492492    0.110802526
0.2960  -0.197925705    0.020615575    0.028700840    0.033543070    0.110787123
0.2970  -0.199318326    0.020912611    0.029110490    0.033590960    0.110772353
0.2980  -0.200718320    0.021213041    0.029524923    0.033636124    0.110758223
0.2990  -0.202125700    0.021516895    0.029944190    0.033678529    0.110744742
0.3000  -0.203540474    0.021824202    0.030368340    0.033718139    0.110731919
0.3010  -0.204962650    0.022134993    0.030797425    0.033754918    0.110719761
0.3020  -0.206392238    0.022449300    0.031231494    0.033788830    0.110708277
0.3030  -0.207829244    0.022767153    0.031670601    0.033819840    0.110697475
0.3040  -0.209273675    0.023088583    0.032114798    0.033847913    0.110687365
0.3050  -0.210725538    0.023413622    0.032564138    0.033873011    0.110677953
0.3060  -0.212184836    0.023742301    0.033018674    0.033895100    0.110669250
0.3070  -0.213651575    0.024074652    0.033478462    0.033914144    0.110661262
0.3080  -0.215125758    0.024410707    0.033943556    0.033930106    0.110654000
0.3090  -0.216607389    0.024750499    0.034414012    0.033942950    0.110647470
0.3100  -0.218096468    0.025094060    0.034889887    0.033952640    0.110641682
0.3110  -0.219592999    0.025441422    0.035371237    0.033959140    0.110636644
0.3120  -0.221096980    0.025792620    0.035858120    0.033962413    0.110632365
0.3130  -0.222608412    0.026147685    0.036350595    0.033962424    0.110628853
0.3140  -0.224127293    0.026506652    0.036848721    0.033959136    0.110626117
0.3150  -0.225653621    0.026869554    0.037352557    0.033952513    0.110624165
0.3160  -0.227187393    0.027236426    0.037862164    0.033942518    0.110623005
0.3170  -0.228728605    0.027607300    0.038377603    0.033929115    0.110622647
0.3180  -0.230277253    0.027982212    0.038898937    0.033912268    0.110623099
0.3190  -0.231833330    0.028361197    0.039426228    0.033891940    0.110624369
0.3200  -0.233396830    0.028744289    0.039959539    0.033868094    0.110626466
0.3210  -0.234967745    0.029131523    0.040498935    0.033840696    0.110629399
0.3220  -0.236546065    0.029522935    0.041044481    0.033809707    0.110633175
0.3230  -0.238131783    0.029918560    0.041596242    0.033775093    0.110637804
0.3240  -0.239724885    0.030318435    0.042154285    0.033736816    0.110643293
