#1000 pts per wavenumber up to wavenumber=2000
#100 pts per wavenumber after wavenumber=2000
#x   qext   qsca   qback   gsca   p180
348.0   2.0485   2.0485   1.7702   0.0000   0.0688
349.0   2.0334   2.0334   1.8545   0.0000   0.0726
350.0   2.0213   2.0213   1.5978   0.0000   0.0629
351.0   2.0179   2.0179   2.0295   0.0000   0.0800
352.0   2.0239   2.0239   1.4266   0.0000   0.0561
353.0   2.0364   2.0364   1.4670   0.0000   0.0573
354.0   2.0496   2.0496   1.2619   0.0000   0.0490
355.0   2.0592   2.0592   1.5150   0.0000   0.0585
356.0   2.0601   2.0601   1.7360   0.0000   0.0671
357.0   2.0529   2.0529   1.5561   0.0000   0.0603
358.0   2.0395   2.0395   1.8416   0.0000   0.0719
359.0   2.0259   2.0259   1.6805   0.0000   0.0660
360.0   2.0181   2.0181   2.1621   0.0000   0.0853
361.0   2.0197   2.0197   1.9175   0.0000   0.0756
362.0   2.0298   2.0298   2.2426   0.0000   0.0879
363.0   2.0435   2.0435   1.5575   0.0000   0.0607
364.0   2.0552   2.0552   1.8373   0.0000   0.0711
365.0   2.0596   2.0596   1.5410   0.0000   0.0595
366.0   2.0556   2.0556   1.7818   0.0000   0.0690
367.0   2.0445   2.0445   1.4709   0.0000   0.0573
368.0   2.0310   2.0310   1.3063   0.0000   0.0512
369.0   2.0205   2.0205   1.4643   0.0000   0.0577
370.0   2.0179   2.0179   1.5599   0.0000   0.0615
371.0   2.0243   2.0243   2.0076   0.0000   0.0789
372.0   2.0366   2.0366   1.6958   0.0000   0.0663
373.0   2.0496   2.0496   2.0091   0.0000   0.0780
374.0   2.0578   2.0578   1.7663   0.0000   0.0683
375.0   2.0575   2.0575   2.2282   0.0000   0.0862
376.0   2.0490   2.0490   1.8942   0.0000   0.0736
377.0   2.0362   2.0362   1.9501   0.0000   0.0762
378.0   2.0238   2.0238   1.6079   0.0000   0.0632
379.0   2.0178   2.0178   1.5554   0.0000   0.0613
380.0   2.0205   2.0205   1.6916   0.0000   0.0666
381.0   2.0305   2.0305   1.5716   0.0000   0.0616
382.0   2.0434   2.0434   1.4922   0.0000   0.0581
383.0   2.0540   2.0540   1.3570   0.0000   0.0526
384.0   2.0575   2.0575   1.5944   0.0000   0.0617
385.0   2.0525   2.0525   1.7068   0.0000   0.0662
386.0   2.0416   2.0416   2.1210   0.0000   0.0827
387.0   2.0283   2.0283   1.7538   0.0000   0.0688
388.0   2.0191   2.0191   1.9262   0.0000   0.0759
389.0   2.0178   2.0178   1.9804   0.0000   0.0781
390.0   2.0252   2.0252   2.0428   0.0000   0.0803
391.0   2.0373   2.0373   2.1234   0.0000   0.0829
392.0   2.0495   2.0495   1.7047   0.0000   0.0662
393.0   2.0557   2.0557   1.6564   0.0000   0.0641
394.0   2.0543   2.0543   1.4894   0.0000   0.0577
395.0   2.0458   2.0458   1.7147   0.0000   0.0667
396.0   2.0336   2.0336   1.5872   0.0000   0.0621
397.0   2.0226   2.0226   1.5048   0.0000   0.0592
398.0   2.0171   2.0171   1.4283   0.0000   0.0563
399.0   2.0207   2.0207   1.7413   0.0000   0.0686
400.0   2.0309   2.0309   1.9408   0.0000   0.0760
401.0   2.0440   2.0440   1.8889   0.0000   0.0735
402.0   2.0532   2.0532   1.9967   0.0000   0.0774
403.0   2.0552   2.0552   1.7582   0.0000   0.0681
404.0   2.0491   2.0491   2.1180   0.0000   0.0823
405.0   2.0380   2.0380   1.8704   0.0000   0.0730
406.0   2.0265   2.0265   2.1945   0.0000   0.0862
407.0   2.0187   2.0187   1.5788   0.0000   0.0622
408.0   2.0182   2.0182   1.5988   0.0000   0.0630
409.0   2.0254   2.0254   1.4391   0.0000   0.0565
410.0   2.0374   2.0374   1.7420   0.0000   0.0680
411.0   2.0488   2.0488   1.6284   0.0000   0.0632
412.0   2.0548   2.0548   1.4928   0.0000   0.0578
413.0   2.0520   2.0520   1.6821   0.0000   0.0652
414.0   2.0425   2.0425   1.6492   0.0000   0.0643
415.0   2.0305   2.0305   2.3553   0.0000   0.0923
416.0   2.0208   2.0208   1.7831   0.0000   0.0702
417.0   2.0174   2.0174   2.1428   0.0000   0.0845
418.0   2.0217   2.0217   1.7646   0.0000   0.0695
419.0   2.0316   2.0316   2.1158   0.0000   0.0829
420.0   2.0433   2.0433   1.7756   0.0000   0.0692
421.0   2.0521   2.0521   1.9248   0.0000   0.0746
422.0   2.0532   2.0532   1.4621   0.0000   0.0567
423.0   2.0468   2.0468   1.4427   0.0000   0.0561
424.0   2.0354   2.0354   1.5172   0.0000   0.0593
425.0   2.0240   2.0240   1.6628   0.0000   0.0654
426.0   2.0175   2.0175   1.8447   0.0000   0.0728
427.0   2.0188   2.0188   1.4985   0.0000   0.0591
428.0   2.0266   2.0266   1.8549   0.0000   0.0728
429.0   2.0380   2.0380   1.8054   0.0000   0.0705
430.0   2.0482   2.0482   2.3879   0.0000   0.0928
431.0   2.0525   2.0525   1.8785   0.0000   0.0728
432.0   2.0495   2.0495   2.0309   0.0000   0.0789
433.0   2.0400   2.0400   1.8152   0.0000   0.0708
434.0   2.0285   2.0285   2.0521   0.0000   0.0805
435.0   2.0194   2.0194   1.7468   0.0000   0.0688
436.0   2.0171   2.0171   1.7051   0.0000   0.0673
437.0   2.0220   2.0220   1.4747   0.0000   0.0580
438.0   2.0324   2.0324   1.3900   0.0000   0.0544
439.0   2.0436   2.0436   1.6706   0.0000   0.0651
440.0   2.0509   2.0509   1.6470   0.0000   0.0639
441.0   2.0510   2.0510   1.8726   0.0000   0.0727
442.0   2.0437   2.0437   1.5920   0.0000   0.0620
443.0   2.0328   2.0328   1.8990   0.0000   0.0743
444.0   2.0224   2.0224   2.0626   0.0000   0.0812
445.0   2.0173   2.0173   2.1923   0.0000   0.0865
446.0   2.0189   2.0189   2.0145   0.0000   0.0794
447.0   2.0272   2.0272   1.8496   0.0000   0.0726
448.0   2.0382   2.0382   1.8400   0.0000   0.0718
449.0   2.0476   2.0476   1.7422   0.0000   0.0677
450.0   2.0513   2.0513   1.9495   0.0000   0.0756
451.0   2.0471   2.0471   1.5014   0.0000   0.0584
452.0   2.0371   2.0371   1.5562   0.0000   0.0608
453.0   2.0260   2.0260   1.4632   0.0000   0.0575
454.0   2.0182   2.0182   1.6906   0.0000   0.0667
455.0   2.0172   2.0172   1.8606   0.0000   0.0734
456.0   2.0232   2.0232   1.7239   0.0000   0.0678
457.0   2.0329   2.0329   1.8875   0.0000   0.0739
458.0   2.0431   2.0431   1.8453   0.0000   0.0719
459.0   2.0495   2.0495   2.4035   0.0000   0.0933
460.0   2.0489   2.0489   1.9906   0.0000   0.0773
461.0   2.0416   2.0416   2.0070   0.0000   0.0782
462.0   2.0306   2.0306   1.6298   0.0000   0.0639
463.0   2.0206   2.0206   1.8628   0.0000   0.0734
464.0   2.0163   2.0163   1.5876   0.0000   0.0627
465.0   2.0197   2.0197   1.8136   0.0000   0.0715
466.0   2.0282   2.0282   1.5156   0.0000   0.0595
467.0   2.0388   2.0388   1.4344   0.0000   0.0560
468.0   2.0467   2.0467   1.6704   0.0000   0.0649
