#number of points averaged per size parameter = 4999
#   x       qext           qsca q          back             gsca            qp180
0.1700  -0.1282220535    0.0017991801    0.0026445253    0.0091129330    0.1169669630
0.1710  -0.1290896893    0.0018425543    0.0027076532    0.0092156030    0.1169399428
0.1720  -0.1299592102    0.0018867204    0.0027719121    0.0093187534    0.1169127961
0.1730  -0.1308306248    0.0019316883    0.0028373156    0.0094223819    0.1168855235
0.1740  -0.1317039418    0.0019774682    0.0029038775    0.0095264860    0.1168581258
0.1750  -0.1325791698    0.0020240703    0.0029716117    0.0096310634    0.1168306034
0.1760  -0.1334563174    0.0020715047    0.0030405324    0.0097361116    0.1168029570
0.1770  -0.1343353932    0.0021197819    0.0031106534    0.0098416281    0.1167751873
0.1780  -0.1352164056    0.0021689123    0.0031819891    0.0099476105    0.1167472949
0.1790  -0.1360993631    0.0022189063    0.0032545537    0.0100540562    0.1167192804
0.1800  -0.1369842744    0.0022697746    0.0033283615    0.0101609628    0.1166911445
0.1810  -0.1378711478    0.0023215277    0.0034034271    0.0102683276    0.1166628879
0.1820  -0.1387599917    0.0023741764    0.0034797651    0.0103761482    0.1166345112
0.1830  -0.1396508146    0.0024277315    0.0035573900    0.0104844219    0.1166060151
0.1840  -0.1405436248    0.0024822039    0.0036363166    0.0105931462    0.1165774002
0.1850  -0.1414384308    0.0025376046    0.0037165599    0.0107023184    0.1165486672
0.1860  -0.1423352408    0.0025939446    0.0037981346    0.0108119358    0.1165198168
0.1870  -0.1432340632    0.0026512351    0.0038810560    0.0109219958    0.1164908498
0.1880  -0.1441349062    0.0027094872    0.0039653391    0.0110324957    0.1164617667
0.1890  -0.1450377782    0.0027687122    0.0040509992    0.0111434328    0.1164325683
0.1900  -0.1459426873    0.0028289216    0.0041380516    0.0112548043    0.1164032553
0.1910  -0.1468496418    0.0028901268    0.0042265118    0.0113666075    0.1163738284
0.1920  -0.1477586498    0.0029523394    0.0043163953    0.0114788395    0.1163442883
0.1930  -0.1486697195    0.0030155709    0.0044077177    0.0115914977    0.1163146357
0.1940  -0.1495828591    0.0030798331    0.0045004948    0.0117045792    0.1162848714
0.1950  -0.1504980766    0.0031451378    0.0045947424    0.0118180810    0.1162549961
0.1960  -0.1514153801    0.0032114969    0.0046904765    0.0119320004    0.1162250105
0.1970  -0.1523347777    0.0032789223    0.0047877131    0.0120463344    0.1161949153
0.1980  -0.1532562775    0.0033474261    0.0048864683    0.0121610802    0.1161647114
0.1990  -0.1541798874    0.0034170205    0.0049867584    0.0122762348    0.1161343994
0.2000  -0.1551056154    0.0034877177    0.0050885997    0.0123917952    0.1161039802
0.2010  -0.1560334694    0.0035595299    0.0051920088    0.0125077584    0.1160734544
0.2020  -0.1569634575    0.0036324696    0.0052970020    0.0126241215    0.1160428229
0.2030  -0.1578955874    0.0037065493    0.0054035962    0.0127408813    0.1160120864
0.2040  -0.1588298671    0.0037817816    0.0055118079    0.0128580350    0.1159812458
0.2050  -0.1597663043    0.0038581791    0.0056216542    0.0129755792    0.1159503017
0.2060  -0.1607049070    0.0039357546    0.0057331520    0.0130935110    0.1159192550
0.2070  -0.1616456830    0.0040145210    0.0058463184    0.0132118273    0.1158881065
0.2080  -0.1625886399    0.0040944911    0.0059611705    0.0133305248    0.1158568570
0.2090  -0.1635337855    0.0041756781    0.0060777256    0.0134496005    0.1158255073
0.2100  -0.1644811276    0.0042580950    0.0061960011    0.0135690510    0.1157940583
0.2110  -0.1654306737    0.0043417551    0.0063160145    0.0136888732    0.1157625106
0.2120  -0.1663824316    0.0044266716    0.0064377835    0.0138090639    0.1157308652
0.2130  -0.1673364090    0.0045128580    0.0065613258    0.0139296197    0.1156991230
0.2140  -0.1682926133    0.0046003278    0.0066866591    0.0140505373    0.1156672846
0.2150  -0.1692510521    0.0046890945    0.0068138014    0.0141718135    0.1156353511
0.2160  -0.1702117331    0.0047791718    0.0069427708    0.0142934449    0.1156033231
0.2170  -0.1711746637    0.0048705736    0.0070735854    0.0144154281    0.1155712017
0.2180  -0.1721398513    0.0049633136    0.0072062635    0.0145377597    0.1155389876
0.2190  -0.1731073035    0.0050574059    0.0073408234    0.0146604363    0.1155066817
0.2200  -0.1740770277    0.0051528644    0.0074772838    0.0147834545    0.1154742850
0.2210  -0.1750490313    0.0052497035    0.0076156630    0.0149068107    0.1154417982
0.2220  -0.1760233216    0.0053479373    0.0077559800    0.0150305015    0.1154092223
0.2230  -0.1769999059    0.0054475801    0.0078982535    0.0151545234    0.1153765581
0.2240  -0.1779787916    0.0055486465    0.0080425025    0.0152788727    0.1153438066
0.2250  -0.1789599860    0.0056511510    0.0081887460    0.0154035460    0.1153109686
0.2260  -0.1799434963    0.0057551083    0.0083370031    0.0155285396    0.1152780452
0.2270  -0.1809293296    0.0058605330    0.0084872933    0.0156538499    0.1152450371
0.2280  -0.1819174933    0.0059674401    0.0086396359    0.0157794732    0.1152119453
0.2290  -0.1829079944    0.0060758445    0.0087940505    0.0159054058    0.1151787708
0.2300  -0.1839008400    0.0061857613    0.0089505566    0.0160316442    0.1151455145
0.2310  -0.1848960373    0.0062972056    0.0091091741    0.0161581844    0.1151121773
0.2320  -0.1858935932    0.0064101927    0.0092699229    0.0162850228    0.1150787602
0.2330  -0.1868935149    0.0065247379    0.0094328229    0.0164121555    0.1150452642
0.2340  -0.1878958093    0.0066408568    0.0095978943    0.0165395788    0.1150116901
0.2350  -0.1889004834    0.0067585648    0.0097651573    0.0166672888    0.1149780390
0.2360  -0.1899075440    0.0068778777    0.0099346323    0.0167952817    0.1149443118
0.2370  -0.1909169982    0.0069988113    0.0101063398    0.0169235534    0.1149105096
0.2380  -0.1919288526    0.0071213814    0.0102803005    0.0170521002    0.1148766333
0.2390  -0.1929431143    0.0072456040    0.0104565350    0.0171809181    0.1148426838
0.2400  -0.1939597898    0.0073714953    0.0106350642    0.0173100031    0.1148086623
0.2410  -0.1949788861    0.0074990715    0.0108159091    0.0174393511    0.1147745698
0.2420  -0.1960004098    0.0076283488    0.0109990909    0.0175689582    0.1147404071
0.2430  -0.1970243675    0.0077593437    0.0111846308    0.0176988202    0.1147061754
0.2440  -0.1980507661    0.0078920728    0.0113725502    0.0178289332    0.1146718757
0.2450  -0.1990796120    0.0080265527    0.0115628706    0.0179592929    0.1146375090
0.2460  -0.2001109118    0.0081628001    0.0117556135    0.0180898952    0.1146030764
0.2470  -0.2011446721    0.0083008319    0.0119508009    0.0182207360    0.1145685788
0.2480  -0.2021808994    0.0084406652    0.0121484545    0.0183518110    0.1145340175
0.2490  -0.2032196001    0.0085823170    0.0123485965    0.0184831160    0.1144993933
0.2500  -0.2042607806    0.0087258044    0.0125512489    0.0186146468    0.1144647075
0.2510  -0.2053044475    0.0088711450    0.0127564341    0.0187463990    0.1144299610
0.2520  -0.2063506069    0.0090183560    0.0129641746    0.0188783684    0.1143951550
0.2530  -0.2073992653    0.0091674551    0.0131744928    0.0190105506    0.1143602905
0.2540  -0.2084504288    0.0093184598    0.0133874115    0.0191429411    0.1143253687
0.2550  -0.2095041038    0.0094713881    0.0136029535    0.0192755356    0.1142903906
0.2560  -0.2105602964    0.0096262578    0.0138211418    0.0194083297    0.1142553573
0.2570  -0.2116190128    0.0097830869    0.0140419996    0.0195413189    0.1142202700
0.2580  -0.2126802590    0.0099418935    0.0142655501    0.0196744987    0.1141851299
0.2590  -0.2137440413    0.0101026960    0.0144918166    0.0198078645    0.1141499379
0.2600  -0.2148103654    0.0102655128    0.0147208228    0.0199414118    0.1141146953
0.2610  -0.2158792376    0.0104303622    0.0149525924    0.0200751361    0.1140794032
0.2620  -0.2169506637    0.0105972630    0.0151871490    0.0202090326    0.1140440627
0.2630  -0.2180246496    0.0107662338    0.0154245169    0.0203430968    0.1140086751
0.2640  -0.2191012012    0.0109372936    0.0156647199    0.0204773240    0.1139732415
0.2650  -0.2201803243    0.0111104614    0.0159077826    0.0206117094    0.1139377630
0.2660  -0.2212620246    0.0112857562    0.0161537291    0.0207462483    0.1139022409
0.2670  -0.2223463080    0.0114631973    0.0164025842    0.0208809360    0.1138666763
0.2680  -0.2234331800    0.0116428041    0.0166543725    0.0210157676    0.1138310704
0.2690  -0.2245226464    0.0118245961    0.0169091189    0.0211507383    0.1137954244
0.2700  -0.2256147126    0.0120085928    0.0171668484    0.0212858432    0.1137597396
0.2710  -0.2267093843    0.0121948141    0.0174275862    0.0214210775    0.1137240172
0.2720  -0.2278066669    0.0123832798    0.0176913577    0.0215564362    0.1136882583
0.2730  -0.2289065660    0.0125740099    0.0179581882    0.0216919143    0.1136524642
0.2740  -0.2300090868    0.0127670246    0.0182281035    0.0218275070    0.1136166362
0.2750  -0.2311142348    0.0129623441    0.0185011294    0.0219632090    0.1135807755
0.2760  -0.2322220152    0.0131599889    0.0187772918    0.0220990154    0.1135448834
0.2770  -0.2333324333    0.0133599794    0.0190566167    0.0222349211    0.1135089610
0.2780  -0.2344454944    0.0135623363    0.0193391306    0.0223709210    0.1134730098
0.2790  -0.2355612034    0.0137670804    0.0196248599    0.0225070099    0.1134370309
0.2800  -0.2366795657    0.0139742327    0.0199138311    0.0226431827    0.1134010257
0.2810  -0.2378005862    0.0141838143    0.0202060710    0.0227794340    0.1133649954
0.2820  -0.2389242698    0.0143958462    0.0205016066    0.0229157587    0.1133289413
0.2830  -0.2400506216    0.0146103500    0.0208004649    0.0230521515    0.1132928648
0.2840  -0.2411796465    0.0148273470    0.0211026733    0.0231886071    0.1132567672
0.2850  -0.2423113492    0.0150468589    0.0214082592    0.0233251200    0.1132206498
0.2860  -0.2434457346    0.0152689074    0.0217172502    0.0234616850    0.1131845138
0.2870  -0.2445828073    0.0154935145    0.0220296741    0.0235982967    0.1131483607
0.2880  -0.2457225721    0.0157207021    0.0223455588    0.0237349495    0.1131121919
0.2890  -0.2468650336    0.0159504925    0.0226649326    0.0238716379    0.1130760086
0.2900  -0.2480101963    0.0161829080    0.0229878236    0.0240083566    0.1130398122
0.2910  -0.2491580646    0.0164179711    0.0233142605    0.0241450998    0.1130036041
0.2920  -0.2503086432    0.0166557043    0.0236442719    0.0242818621    0.1129673856
0.2930  -0.2514619362    0.0168961305    0.0239778865    0.0244186378    0.1129311582
0.2940  -0.2526179481    0.0171392725    0.0243151336    0.0245554213    0.1128949233
0.2950  -0.2537766831    0.0173851534    0.0246560423    0.0246922068    0.1128586822
0.2960  -0.2549381454    0.0176337964    0.0250006419    0.0248289888    0.1128224363
0.2970  -0.2561023391    0.0178852248    0.0253489622    0.0249657613    0.1127861871
0.2980  -0.2572692683    0.0181394622    0.0257010328    0.0251025186    0.1127499360
0.2990  -0.2584389370    0.0183965322    0.0260568838    0.0252392549    0.1127136845
0.3000  -0.2596113492    0.0186564586    0.0264165453    0.0253759644    0.1126774339
0.3010  -0.2607865086    0.0189192654    0.0267800477    0.0255126410    0.1126411857
0.3020  -0.2619644192    0.0191849766    0.0271474215    0.0256492790    0.1126049414
0.3030  -0.2631450847    0.0194536165    0.0275186976    0.0257858724    0.1125687024
0.3040  -0.2643285087    0.0197252096    0.0278939067    0.0259224151    0.1125324703
0.3050  -0.2655146949    0.0199997804    0.0282730801    0.0260589011    0.1124962464
0.3060  -0.2667036467    0.0202773537    0.0286562492    0.0261953243    0.1124600323
0.3070  -0.2678953677    0.0205579543    0.0290434454    0.0263316787    0.1124238295
0.3080  -0.2690898613    0.0208416073    0.0294347006    0.0264679581    0.1123876395
0.3090  -0.2702871308    0.0211283379    0.0298300466    0.0266041563    0.1123514637
0.3100  -0.2714871794    0.0214181714    0.0302295158    0.0267402672    0.1123153038
0.3110  -0.2726900103    0.0217111335    0.0306331404    0.0268762844    0.1122791613
0.3120  -0.2738956266    0.0220072497    0.0310409530    0.0270122016    0.1122430376
0.3130  -0.2751040314    0.0223065460    0.0314529865    0.0271480127    0.1122069343
0.3140  -0.2763152276    0.0226090483    0.0318692739    0.0272837112    0.1121708531
0.3150  -0.2775292180    0.0229147830    0.0322898485    0.0274192906    0.1121347954
0.3160  -0.2787460056    0.0232237762    0.0327147436    0.0275547447    0.1120987628
0.3170  -0.2799655929    0.0235360545    0.0331439930    0.0276900669    0.1120627569
0.3180  -0.2811879827    0.0238516447    0.0335776305    0.0278252508    0.1120267793
0.3190  -0.2824131775    0.0241705736    0.0340156904    0.0279602897    0.1119908316
0.3200  -0.2836411797    0.0244928682    0.0344582070    0.0280951771    0.1119549154
0.3210  -0.2848719918    0.0248185557    0.0349052147    0.0282299065    0.1119190323
0.3220  -0.2861056162    0.0251476635    0.0353567486    0.0283644711    0.1118831839
0.3230  -0.2873420549    0.0254802191    0.0358128436    0.0284988643    0.1118473718
0.3240  -0.2885813102    0.0258162503    0.0362735350    0.0286330793    0.1118115978
0.3250  -0.2898233841    0.0261557850    0.0367388583    0.0287671095    0.1117758634
0.3260  -0.2910682785    0.0264988513    0.0372088494    0.0289009479    0.1117401703
0.3270  -0.2923159955    0.0268454773    0.0376835441    0.0290345878    0.1117045201
0.3280  -0.2935665366    0.0271956916    0.0381629788    0.0291680223    0.1116689146
0.3290  -0.2948199037    0.0275495227    0.0386471900    0.0293012446    0.1116333554
0.3300  -0.2960760984    0.0279069995    0.0391362144    0.0294342475    0.1115978442
0.3310  -0.2973351221    0.0282681509    0.0396300889    0.0295670243    0.1115623826
0.3320  -0.2985969763    0.0286330062    0.0401288509    0.0296995678    0.1115269725
0.3330  -0.2998616623    0.0290015945    0.0406325378    0.0298318709    0.1114916155
0.3340  -0.3011291814    0.0293739455    0.0411411875    0.0299639267    0.1114563134
0.3350  -0.3023995345    0.0297500889    0.0416548378    0.0300957280    0.1114210678
0.3360  -0.3036727229    0.0301300546    0.0421735272    0.0302272675    0.1113858805
